,in_prod_name,pro_status_cd,status_list,category,3,5,12,no_numbers
37,FPSFJAH-D30-L125-N6-W16,202-10-3-11-203-4-40-39,"['202', '10', '3', '11', '203', '4', '40', '39']",2,1,0,0,FPSFJAH-D-L-N-W
38,FPSFJAH-D30-L125-N6-W16,203-3-4-10-202-11-40-39,"['203', '3', '4', '10', '202', '11', '40', '39']",2,1,0,0,FPSFJAH-D-L-N-W
39,FPSFJAH-D30-L125-N6-W16,10-4-3-203-11-202-39-40,"['10', '4', '3', '203', '11', '202', '39', '40']",2,1,0,0,FPSFJAH-D-L-N-W
40,FPSFJAH-D50-L350-N12-W24,203-40-39-4-3-11-202-10,"['203', '40', '39', '4', '3', '11', '202', '10']",2,1,0,0,FPSFJAH-D-L-N-W
41,FPSFJBA-D10-L108.5-M5,10-200-11-201-39-40,"['10', '200', '11', '201', '39', '40']",1,0,0,0,FPSFJBA-D-L.-M
42,FPSFJBA-D10-L90-M4,201-200-10-40-11-39,"['201', '200', '10', '40', '11', '39']",1,0,0,0,FPSFJBA-D-L-M
43,FPSFJBA-D12-L160-M8,203-202-10-11-39-40-4-3,"['203', '202', '10', '11', '39', '40', '4', '3']",2,1,0,0,FPSFJBA-D-L-M
44,FPSFJBA-D15-L25-M6,3-4-203-40-202-10-39-11,"['3', '4', '203', '40', '202', '10', '39', '11']",2,1,0,0,FPSFJBA-D-L-M
45,FPSFJBA-D20-L280-M8-SC20,12-431-13-39-10-430-203-11-202-40,"['12', '431', '13', '39', '10', '430', '203', '11', '202', '40']",2,0,0,1,FPSFJBA-D-L-M-SC
46,FPSFJBA-D20-L350-M8-SC20,3-4-40-430-39-10-203-11-12-202-13-431,"['3', '4', '40', '430', '39', '10', '203', '11', '12', '202', '13', '431']",2,1,0,1,FPSFJBA-D-L-M-SC
47,FPSFJBA-D25-L190-M12-SC50,202-203-3-11-10-39-431-430-4-40-13-12,"['202', '203', '3', '11', '10', '39', '431', '430', '4', '40', '13', '12']",2,1,0,1,FPSFJBA-D-L-M-SC
48,FPSFJBA-D30-L84-M10,11-10-203-3-4-202-39-40,"['11', '10', '203', '3', '4', '202', '39', '40']",2,1,0,0,FPSFJBA-D-L-M
49,FPSFJBA-D6-L30-M3,40-39-10-200-11-201,"['40', '39', '10', '200', '11', '201']",1,0,0,0,FPSFJBA-D-L-M
50,FPSFJBA-D8-L110-M5,201-39-200-11-10-40,"['201', '39', '200', '11', '10', '40']",1,0,0,0,FPSFJBA-D-L-M
51,FPSFJBA-D8-L40-M5-SC32,430-12-40-13-431-39-200-10-201-11,"['430', '12', '40', '13', '431', '39', '200', '10', '201', '11']",1,0,0,1,FPSFJBA-D-L-M-SC
52,FPSFJBA-D8-L60-M5,40-10-201-11-200-39,"['40', '10', '201', '11', '200', '39']",1,0,0,0,FPSFJBA-D-L-M
53,FPSFJBB-D10-L228-M4-N4,39-40-10-200-201-11,"['39', '40', '10', '200', '201', '11']",1,0,0,0,FPSFJBB-D-L-M-N
54,FPSFJBB-D10-L228-M4-N4,39-40-201-11-200-10,"['39', '40', '201', '11', '200', '10']",1,0,0,0,FPSFJBB-D-L-M-N
55,FPSFJBB-D10-L260-M6-N6,10-200-201-11-40-39,"['10', '200', '201', '11', '40', '39']",1,0,0,0,FPSFJBB-D-L-M-N
56,FPSFJBB-D12-L171-M6-N6,11-10-200-201-40-39,"['11', '10', '200', '201', '40', '39']",1,0,0,0,FPSFJBB-D-L-M-N
57,FPSFJBB-D12-L171-M8-N8,11-39-203-4-202-10-3-40,"['11', '39', '203', '4', '202', '10', '3', '40']",2,1,0,0,FPSFJBB-D-L-M-N
58,FPSFJBB-D12-L171-M8-N8,202-10-4-203-11-39-40-3,"['202', '10', '4', '203', '11', '39', '40', '3']",2,1,0,0,FPSFJBB-D-L-M-N
59,FPSFJBB-D12-L228-M4-N4,39-40-10-201-11-200,"['39', '40', '10', '201', '11', '200']",1,0,0,0,FPSFJBB-D-L-M-N
60,FPSFJBB-D12-L228-M4-N4,39-40-11-10-201-200,"['39', '40', '11', '10', '201', '200']",1,0,0,0,FPSFJBB-D-L-M-N
61,FPSFJBB-D16-L190.5-M8-N8-LKC,202-11-3-39-4-203-40-10,"['202', '11', '3', '39', '4', '203', '40', '10']",2,1,0,0,FPSFJBB-D-L.-M-N-LKC
