client_cd,order_cd,pro_seq,pro_status_cd
348,1437,1,12-310-13-311-39-40-3-4-10-202-203-11
348,1445,1,3-4-10-202-203-11-39-40
348,1446,1,10-200-201-11-39-40
348,1450,1,3-4-10-202-203-11-39-40
349,1379,1,10-200-11-201-39-40
349,1380,1,10-200-11-201-39-40
349,1385,1,10-200-201-11-39-40
349,1400,1,10-200-39-40-201-11
349,1430,1,201-12-506-13-507-11-39-40-10-200
349,1447,1,10-200-201-11-39-40
349,1517,1,3-4-10-204-11-205-39-40
349,1569,1,12-480-13-481-39-40-11-10-200-201
349,1574,1,39-40-10-202-203-11
349,1579,1,39-40-11-12-480-13-481-10-200-201
349,1583,1,10-200-201-12-480-13-481-39-40-11
349,1587,1,12-480-13-481-39-40-11-10-200-201
350,324,1,10-202-11-203-12-13-430-431-3-4-39-40
350,354,1,11-39-40-10-200-201-12-13-310-311
350,355,1,11-39-40-10-200-201-12-310-13-311
350,364,1,39-40-10-202-11-203
351,3504,1,10-200-201-39-40-11
351,3571,1,10-200-201-11-39-40
351,3619,1,10-202-11-203-12-490-13-491-39-40-3-4-5-6
351,3669,1,10-200-201-11-39-40
351,3967,1,32-33-39-40-10-200-201-11
351,4021,1,10-202-32-203-33-11-39-40
351,4043,1,10-200-201-11-39-40
351,4226,1,39-40-3-4-5-6-10-202-203-11-12-490-13-491
352,5042,1,39-40-10-200-201-11-12-430-13-431
365,8714,1,3-4-5-6-10-202-203-11-39-40
365,8715,1,39-40-3-4-5-6-10-202-203-11
365,8995,1,39-40-3-4-10-202-203-11
365,9463,1,39-40-10-202-11-203-12-430-13-431
365,9471,1,12-430-13-431-39-40-3-4-5-6-10-202-203-11
365,9472,1,12-430-13-431-39-40-3-4-5-6-10-202-203-11
445,28809,1,203-11-39-40-3-4-10-202
445,28922,1,39-40-3-4-5-6-10-202-11-203-12-430-13-431
445,29119,1,10-202-203-11-12-430-13-431-3-4-39-40
445,29135,1,39-40-3-4-10-202-203-11
445,29238,1,39-40-10-200-201-11-12-430-13-431
445,29239,1,39-40-10-200-201-11-12-430-13-431
445,29240,1,39-40-10-200-201-11-12-430-13-431
445,29247,1,3-4-5-6-10-202-12-506-13-507-203-11-39-40
445,29292,1,39-40-201-11-10-200
445,29520,1,3-4-5-6-10-202-11-203-12-430-13-431-39-40
445,29520,2,3-4-5-6-10-202-203-11-12-430-13-431-39-40
445,29520,3,3-4-5-6-10-202-11-203-12-430-13-431-39-40
445,30252,1,40-39-3-4-5-6-10-202-203-11-12-430-13-431
445,30365,1,3-4-5-6-10-202-203-11-39-40
445,30774,1,39-40-12-430-13-431-10-200-201-11
445,30775,1,3-4-5-6-11-12-430-13-431-39-40
452,5562,1,10-200-201-11-39-40
452,5567,1,3-4-5-6-10-202-203-11-39-40
452,5805,1,3-4-5-6-10-202-203-11-39-40
452,5984,1,10-200-201-11-39-40
452,5985,1,39-40-10-200-201-11
493,8528,1,3-10-202-11-203-39-40
493,8537,1,3-4-5-6-10-202-11-203-39-40
493,8546,1,3-4-5-6-11-39-40
493,8555,1,3-10-202-11-203-39-40
493,9832,1,39-40-10-200-201-11
502,4173,1,10-202-11-203-39-40-3-4
502,4311,1,39-40-3-4-10-202-203-11
502,4312,1,39-40-3-4-10-202-11-203
502,4313,1,39-40-3-4-10-202-203-11
