sorted_string,most_popular_sequence,number_of_apperance
10-11-12-13-202-203-39-40-506-507,10-202-11-203-12-506-13-507-39-40,4
11-3-39-40,11-39-40-3,3
10-11-12-13-202-203-3-344-345-39-4-40,12-344-13-345-39-40-3-4-10-202-11-203,2
10-11-12-13-202-203-3-32-33-39-4-40-430-431,3-4-10-202-203-11-33-39-40-32-12-430-13-431,3
11-12-13-39-40-480-481,12-480-13-481-39-40-11,1
11-12-13-3-39-40-430-431,11-12-430-13-431-39-40-3,1
10-11-202-203-204-205-39-40,10-204-202-11-203-205-39-40,1
10-11-12-13-202-203-39-40-430-431-444-445,10-202-203-11-12-430-431-444-13-445-39-40,3
10-11-12-13-202-203-3-39-40-480-481,3-39-40-10-202-11-203-12-480-13-481,1
10-11-12-13-200-201-202-203-39-40-430-431,202-203-11-201-12-430-13-431-39-40-10-200,2
10-11-12-13-200-201-202-203-39-40-506-507,12-506-13-507-39-40-10-200-201-202-11-203,1
10-11-12-13-202-203-3-32-33-39-4-40-506-507,12-506-33-39-40-507-13-3-4-32-10-202-11-203,1
10-11-204-205-3-32-33-39-4-40,10-204-205-11-33-32-39-40-3-4,4
10-11-12-13-202-203-3-39-4-40-480-481-490-491-5-6,12-490-480-491-13-481-39-40-3-4-5-6-10-202-203-11,1
10-11-12-13-202-203-3-39-4-40-430-431-444-445,39-40-3-4-10-202-11-203-12-430-431-444-13-445,4
10-11-12-13-202-203-3-39-4-40-5-502-503-6,12-502-13-503-39-40-3-4-5-6-10-202-203-11,6
10-11-12-13-202-203-3-39-40-490-491,3-10-202-11-203-12-490-13-491-39-40,2
10-11-200-201-40,40-10-200-201-11,2
10-11-12-13-202-203-3-310-311-39-4-40-5,12-310-13-311-39-40-3-4-5-10-202-11-203,3
10-11-12-13-200-201-310-311-39-40-430-431,12-430-431-10-200-310-13-311-201-39-40-11,3
11-12-13-3-310-311-39-4-40-5-6,3-4-5-6-39-40-11-12-310-13-311,1
10-11-12-13-202-203-3-310-311-39-4-40-430-431,310-13-311-3-4-10-202-11-203-39-40-12-430-431,1
10-11-12-13-202-203-3-39-4-40-430-431-488-489-5-6,5-6-10-202-11-203-12-488-489-13-430-431-39-40-3-4,1
10-11-12-13-204-205-3-39-40-480-481,12-480-13-481-39-40-11-205-3-10-204,1
11-3-39-4-40-5,39-40-11-3-4-5,1
10-11-202-203-3-32-32-33-39-4-40,3-4-10-202-11-203-33-39-40-32-32,1
11-12-13-3-39-4-40-430-431-5,3-4-5-11-12-430-13-431-39-40,1
10-11-12-13-200-39-40-430-431,12-430-13-431-39-40-11-10-200,1
10-11-12-13-202-203-3-39-40-502-503,3-10-202-11-203-12-502-13-503-39-40,1
10-11-12-13-202-203-39-40-424-425,12-424-13-425-39-40-10-202-203-11,2
